1,0.119990,0.185495,0.036016
2,0.167317,0.312312,0.036100
3,0.211570,0.414125,0.042700
4,0.269976,0.534101,0.047994
5,0.324539,0.654066,0.054043
6,0.346328,0.768052,0.048112
7,0.399775,0.876555,0.054110
8,0.443040,0.995768,0.054088
9,0.475419,1.139621,0.066125
10,0.518186,1.271512,0.072737
11,0.630142,1.337444,0.072070
12,0.713508,1.451293,0.078109
13,0.677979,1.571221,0.084076
14,0.719427,1.787718,0.084052
15,0.853070,1.900831,0.078080
16,0.705227,1.990723,0.084108
17,0.843833,2.159261,0.090088
18,0.881748,2.134664,0.090134
19,1.025871,2.392382,0.084093
20,1.004080,2.351021,0.090090
21,1.196176,2.464287,0.102023
22,1.070370,2.680145,0.108059
23,1.127220,2.698690,0.114081
24,1.395558,2.817896,0.108085
25,1.418671,2.937946,0.102089
26,1.251883,3.303980,0.120002
27,1.310298,3.363356,0.126057
28,1.504375,3.519324,0.126063
29,1.383946,3.381969,0.126117
30,1.446931,3.501236,0.132003
31,1.496188,3.519310,0.138668
32,1.526794,3.675628,0.161986
33,1.574077,3.843278,0.162033
34,1.629078,3.987937,0.162002
35,1.674880,4.113017,0.168007
36,1.883053,4.239713,0.174033
37,1.760236,4.466687,0.185984
38,1.815438,4.443246,0.185948
39,2.106998,4.654366,0.186006
40,1.905754,4.748361,0.198628
41,2.001812,4.940500,0.191957
42,2.054849,5.353807,0.198757
43,2.338705,5.401795,0.203882
44,2.464835,5.365788,0.210589
45,2.288262,5.396142,0.215976
46,2.573690,5.401807,0.216574
47,2.406386,5.959112,0.227932
48,2.510742,5.797415,0.221944
49,2.553180,5.977857,0.227958
50,2.608104,6.301126,0.228536
