1,0.116704,0.144670,0.225282,0.030117
2,0.168841,0.154324,0.419999,0.048076
3,0.225017,0.263357,0.564605,0.060244
4,0.258371,0.262738,0.689992,0.054142
5,0.319109,0.302991,0.839596,0.054060
6,0.356822,0.362522,0.923756,0.055523
7,0.406282,0.406911,1.103590,0.066160
8,0.463604,0.461400,1.205406,0.066175
9,0.511642,0.480556,1.361200,0.072837
10,0.572618,0.589234,1.541305,0.072169
11,0.600604,0.598384,1.625065,0.078133
12,0.641659,0.626370,1.708949,0.090064
13,0.669233,0.680450,1.859564,0.090185
14,0.717427,0.746394,2.038756,0.084134
15,0.742934,0.762225,2.134598,0.096749
16,0.703446,0.896608,2.339115,0.090039
17,0.910820,0.881035,2.482227,0.096093
18,0.888009,0.930284,2.548214,0.162588
19,0.999037,0.957101,2.686019,0.102081
20,1.019395,1.010833,2.871780,0.108097
21,1.036841,1.073426,3.034391,0.102031
22,1.093296,1.104511,3.123614,0.108082
23,1.134456,1.162486,3.285340,0.102023
24,1.179477,1.225865,3.382006,0.120068
25,1.239741,1.254444,3.681231,0.126124
26,1.254921,1.297419,3.502401,0.126044
27,1.298631,1.332850,3.933283,0.132029
28,1.351999,1.383544,3.945559,0.132583
29,1.412266,1.440063,4.083121,0.132025
30,1.444322,1.487970,4.172998,0.138680
31,1.793083,1.519068,4.268912,0.150121
32,1.553206,1.594843,4.412619,0.174051
33,1.588581,1.622915,4.898937,0.168038
34,1.645062,1.649018,4.730369,0.161974
35,1.701939,1.706371,5.168516,0.173984
36,2.055891,1.777125,5.281940,0.198028
37,2.101904,1.948907,5.492333,0.179975
38,2.129184,1.884301,5.563722,0.198033
39,2.112483,2.091709,5.216627,0.197928
40,2.316387,2.051317,5.078281,0.215992
41,2.274306,2.045259,5.108901,0.197965
42,2.171016,2.618023,5.353816,0.197987
43,2.079873,2.106299,5.048758,0.204015
44,2.128011,2.275287,5.293991,0.209962
45,2.178852,2.435032,5.810085,0.227986
46,2.637285,2.637886,5.857169,0.228029
47,2.333257,2.418648,5.900047,0.221995
48,2.440009,2.624831,5.995256,0.221971
49,1.967626,2.748479,6.319446,0.234079
50,2.524486,2.645814,6.372732,0.252713
